please_choose_a_category,Tweets,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13
direct_eyewitness,did i just feel a small earthquake here in sf?,1,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,omg an earthquake happened,0,1,0,0,1,0,0,1,1,0,0,0,1
direct_eyewitness,not to be that person but omg earthquake spooky,0,1,1,0,1,0,0,1,1,1,0,0,0
direct_eyewitness,another earthquake. big jolt for one second.,0,1,1,0,1,0,0,0,1,1,0,0,0
direct_eyewitness,there was just an earthquake  i  m already on edge from this game  you trying to kill me mother nature?,1,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,mf earthquake,0,0,0,0,0,0,0,1,0,0,1,0,0
direct_eyewitness,i thought that the earthquake was my dog moving on my bed ,1,1,1,1,1,0,0,0,1,0,0,1,1
direct_eyewitness,every time there  s an earthquake i think it  s the big one ,1,1,1,1,1,0,0,0,1,0,0,1,1
direct_eyewitness,was that an earthquake?!,0,1,1,0,1,0,1,0,1,0,0,0,1
direct_eyewitness,oops. san francisco earthquake. i felt something.,1,1,1,1,1,0,0,0,1,0,0,1,0
direct_eyewitness,just felt an earthquake - so of course i jumped on twitter to see who else was reporting it.,1,1,1,1,1,0,0,0,1,1,0,1,1
direct_eyewitness,was that an earthquake,0,1,1,0,1,0,0,0,1,0,0,0,1
direct_eyewitness,goodtimenation right? i feel it started when i was 8 doing school drills when until then i  d only done earthquake  https://t.co/8xjmalqyk7,1,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,wow  i just thought an earthquake into existence. my mind is so powerful  ugh,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,earthquake,0,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,feeling the effects of an earthquake. https://t.co/rzsaveexvf,0,1,1,1,1,0,0,0,1,0,0,0,1
direct_eyewitness,was that a earthquake???,0,1,1,1,1,1,1,0,1,1,0,0,0
direct_eyewitness,oof that earthquake,0,0,1,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,earthquake?,0,1,1,1,1,1,1,0,1,1,0,0,0
direct_eyewitness,there was an earthquake?,0,1,1,0,1,0,1,0,1,0,0,0,1
direct_eyewitness,little earthquake in sf? definitely felt it in the castro!,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,who felt tht earthquakei swear i thought my niece was up to something smfh,1,1,1,1,1,0,0,0,1,0,0,1,1
direct_eyewitness,bruh please tell me someone else felt that earthquake,0,1,1,0,1,1,0,0,1,0,0,0,1
direct_eyewitness,another day another earthquake,0,0,1,0,0,0,0,0,0,1,0,0,0
direct_eyewitness,definitely wondered if it was my upstairs neighbors but it was an earthquake.,0,1,1,0,1,0,0,0,1,1,0,0,1
direct_eyewitness,dang  earthquake.,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,this is the 6th felt #earthquake in czech republic in the last 63 hours https://t.co/wptmw5nd1t,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,was it just a earthquake in the city ?,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,how dare this rude earthquake disturb my darling sleeping dog?????,0,1,1,0,1,1,1,0,1,0,0,1,1
direct_eyewitness,i thought someone was tryna break into my house but no it was an earthquake,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,there was a mini earthquake,0,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,that was an earthquake in berkeley  right?,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,ummm there  s either an obese ghost walking in my house or there was just an earthquake.  i  d appreciate if the ghos  https://t.co/dk515bo3pl,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,thank u earthquake for waking me up at 2:28am,1,1,1,0,1,1,0,0,1,1,0,0,0
direct_eyewitness,ok who felt that earthquake in sf just now??? ,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,uh was there just an earthquake ....,0,1,1,0,1,0,0,0,1,1,0,1,1
direct_eyewitness,did you feel it? #earthquake,0,1,1,0,1,0,1,0,1,1,0,0,0
direct_eyewitness,* confirming earthquake by searching twitter for earthquake *,0,1,1,0,1,0,0,0,1,1,0,0,0
direct_eyewitness,woohoo earthquake,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,was that another fucking earthquake,0,1,1,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,just felt an earthquake in sf. who else felt it?,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,big earthquake #oakland,0,0,1,0,0,0,0,0,0,0,0,0,0
direct_eyewitness,earthquake i  m first,1,1,1,1,1,0,0,0,1,0,0,1,0
direct_eyewitness,hello mr earthquake,0,0,0,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,fuckin earthquake ,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,just had an earthquake here in the east bay.,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,hullo here for the earthquake tweet,0,1,1,0,1,0,0,0,1,1,0,0,0
direct_eyewitness,that earthquake scared the crap out of me. i was knocked out. feces!,1,1,1,1,1,0,1,0,1,0,0,1,0
direct_eyewitness,am i trippin or was that an earthquake?,1,1,1,1,1,0,1,0,1,0,0,1,1
direct_eyewitness,woops  pretty sure that was an earthquake. bets on 4.6? #eastbayquake,0,1,1,0,1,0,1,0,1,0,0,1,1
direct_eyewitness,i asked my dad if he felt that earthquake &amp; he didn  t  thought i was trippin then i saw seven tweets bout it,1,1,1,1,1,0,0,0,1,1,0,1,1
direct_eyewitness,pretty good earthquake just now,0,1,0,0,0,0,0,0,1,1,0,1,0
direct_eyewitness,#earthquake wtf was that,0,1,1,0,0,0,0,1,1,0,0,0,0
direct_eyewitness,that was a long earthquake,0,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,so did anyone else in the bay feel that earthquake?,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,definitely just had an earthquake out here in daly city,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,"omg earthquake i hate earthquakes im always scared and think ""oh this is the one""",1,1,1,1,1,1,0,1,1,0,0,1,0
direct_eyewitness,my mom foreal made me turn down the tv .. to see if she could hear the mf earthquake,0,1,1,1,1,1,0,1,1,0,0,1,1
direct_eyewitness,felt that one! #earthquake,0,1,1,0,0,0,1,0,1,0,0,0,0
direct_eyewitness, chrisrdem omg i wasn  t sure if it was an earthquake or if i just opened my door too forcefully. glad you confirmed,1,1,1,1,1,0,0,1,1,1,0,1,1
direct_eyewitness,did anyone feel that earthquake ,0,1,1,0,0,0,0,0,1,1,0,0,0
direct_eyewitness,earthquake or i  m trippin ??  ёџ,1,1,1,1,1,0,1,0,1,0,0,1,0
direct_eyewitness,definitely felt that one near temescal #oakland #earthquake,0,1,1,0,1,0,0,0,1,0,0,0,0
direct_eyewitness,that earthquake really woke up me &amp; nia whole game up while on ft lmaoooo,1,1,1,0,1,1,0,0,1,0,0,1,1
direct_eyewitness,so a mini earthquake just happened,0,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,obligatory earthquake tweet.,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_eyewitness,oh shit earthquake,0,0,0,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,was that a earthquake?,0,1,1,1,1,1,1,0,1,1,0,0,0
direct_eyewitness,small earthquake just now,0,1,0,1,0,1,0,0,1,1,0,1,0
direct_eyewitness,earthquake?? #sanfrancisco #thewestbay #thesunset #earthquake,0,0,0,0,0,0,1,0,0,0,0,0,0
direct_eyewitness,yoo wtf! a earthquake!    ‚џ,0,1,1,1,1,1,1,0,1,1,0,0,0
direct_eyewitness,that  њwtf? ќ moment when an earthquake starts... #earthquake,0,1,1,1,1,1,1,0,1,0,0,0,1
direct_eyewitness,#earthquake tweet.,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,ummmm earthquake ?,0,0,0,0,0,0,1,0,0,0,0,0,0
direct_eyewitness,i missed the earthquake cause i thought it was the kids lmao,1,1,1,1,1,0,0,0,1,0,0,1,0
direct_eyewitness,was than an earthquake? ,0,1,1,0,1,0,1,0,1,0,0,0,1
direct_eyewitness,i'm on bart &amp; we just stopped because the operator said we had an earthquake  cool..,0,1,1,0,1,0,0,0,1,1,0,1,1
direct_eyewitness,oh ok #earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_eyewitness,just had an earthquake,0,1,0,0,1,0,0,0,1,1,0,1,1
direct_eyewitness,that earthquake was random as fuck ,0,1,1,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,ok earthquake ?,0,0,0,0,0,0,1,0,0,0,0,0,0
direct_eyewitness,that earthquake was short but strong!,0,1,1,1,0,0,1,0,1,1,0,0,0
direct_eyewitness,#oakland just had an #earthquake,0,1,0,0,1,0,0,0,1,1,0,1,1
direct_eyewitness,wew an earthquake,0,1,0,0,1,0,0,0,1,0,0,0,1
direct_eyewitness,minding my business and boom the whole house starts shaking .... that earthquake scared tf outta me,1,1,1,0,1,1,0,0,1,0,0,0,1
direct_eyewitness,oh hello earthquake #sf,0,0,0,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,as if my blood pressure wasn't high enough... halftime earthquake action.,0,1,1,1,1,0,0,0,1,0,0,0,1
direct_eyewitness,anybody else feel that earthquake,0,1,1,0,0,0,0,0,1,1,0,0,0
direct_eyewitness,nice lil earthquake...solid size,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_eyewitness,seriously it was an earthquake but i thought i was seizing. yaaay.,1,1,1,1,1,0,0,0,1,1,0,1,1
direct_eyewitness,oh  good. an earthquake.,0,1,0,0,1,0,0,0,1,0,0,0,1
direct_eyewitness,"...waits for my friends to ask ""are you ok?"" lmao #earthquake and the ones around here ""did you feel that?""  https://t.co/esjakv18au",0,1,1,0,1,0,1,0,1,1,0,0,1
direct_eyewitness,pretty sure i just experienced my first earthquake ,1,1,1,1,1,0,0,0,1,1,0,1,1
direct_eyewitness,feel that earthquake?,0,1,1,0,0,0,1,0,1,1,0,0,0
direct_eyewitness,the cat looked at me  i looked back and shrugged and she went back to sleep. #earthquake https://t.co/qwfgmfeqmm,1,1,1,1,1,0,0,0,1,0,0,1,1
direct_eyewitness, њthis is it nos vamos a la verga! ќ-my uncle during the earthquake,0,1,1,1,1,1,1,0,1,1,0,0,0
direct_eyewitness,it was just an fuccin earthquake,0,1,1,0,1,0,0,0,1,1,0,1,1
direct_eyewitness,huh  an extremely minor earthquake.,0,1,0,0,1,0,0,0,1,0,0,0,1
direct_eyewitness,wow. that felt big-ish #earthquake,0,1,1,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,i knoooooow somebody just felt that earthquake i  m not bugging,1,1,1,1,1,0,0,0,1,1,0,1,0
direct_eyewitness,y'all felt that earthquake right?,0,1,1,0,0,0,1,0,1,0,0,0,0
direct_eyewitness,pretty intense earthquake just now.  big jolt.,0,1,1,1,0,0,0,0,0,1,0,1,0
direct_eyewitness,this was for the earthquake,0,1,1,0,1,1,0,0,1,1,0,0,0
direct_eyewitness,woof! that was a fun lil earthquake sf. my cats are terrified,0,1,1,1,1,1,1,0,1,1,0,0,1
direct_eyewitness,either somebody big ass just shook this building by  or we just had an earthquake,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,either somebody big ass just shook the building or we just had an earthquake,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,hello i just felt my first san francisco earthquake  i  ve been waiting for it since i moved here omg,1,1,1,1,1,0,0,1,1,1,0,1,1
direct_eyewitness,i think there was just an earthquake...?,1,1,1,1,1,0,1,0,1,1,0,1,1
direct_eyewitness,fatttttt earthquake in oakland,0,1,0,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,fuck you earthquake,0,0,1,0,1,0,0,0,1,0,0,0,0
direct_eyewitness,lil earthquake,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,there was a small earthquake in sf its over for us,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,the earthquake is probably just sf getting excited for the 2nd half.,1,1,1,0,1,1,0,0,1,1,0,1,0
direct_eyewitness,was that an #earthquake? #berkeley,0,1,1,0,1,0,1,0,1,0,0,0,1
direct_eyewitness,um excuse me did i feel an earthquake or am i imagining it,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,anyone feel the earthquake that just happened,0,1,1,0,1,0,0,0,1,1,0,1,0
direct_eyewitness,woo  now that was a good little earthquake.,0,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,sitting on my porch and just felt an #earthquake,0,1,1,0,1,0,0,0,1,1,0,1,1
direct_eyewitness,at this same hour was there a great earthquake  and the tenth part of the city fell  and in the earthquake were sla  https://t.co/em0rajqpbz,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,time to tweet about the #earthquake in the #bayarea,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,well that was an earthquake...,0,1,1,0,1,0,0,0,1,0,0,0,1
direct_eyewitness,whoa. that earthquake just literally slammed my whole apartment like i swear it felt like hulk just smashed into my wall oh my gosh.,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,i  m eating my food watching the game big chillin and there  s a random ass earthquake...mother nature dgaf bout the  https://t.co/r1ypkv6hsg,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,that earthquake just messed with my head whoa,0,1,1,0,1,0,0,0,1,1,0,1,1
direct_eyewitness,hardly an earthquake,0,1,0,1,1,0,0,0,1,1,0,0,1
direct_eyewitness,anyone else in oakland or nearby feel that #earthquake?,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,apparently i just missed an earthquake in san francisco.   i'm so homesick!,1,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,i was awake for this earthquake and i still ain  t feel it ,1,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,was there just a small earthquake in san francisco or am i going insane? looked out my window and everyone is walki  https://t.co/gjrffiymlc,1,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,literally shook. #earthquake,1,0,0,0,0,0,0,0,0,0,0,0,0
direct_eyewitness,i just felt an earthquake???????????,1,1,1,1,1,0,1,0,1,1,0,1,1
direct_eyewitness,reporting in for #earthquake twitter.,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,bro we just had an earthquake ,0,1,0,0,1,0,0,0,1,1,0,1,1
direct_eyewitness,was that the earthquake lol,0,1,1,0,1,0,0,1,1,0,0,0,0
direct_eyewitness,my sister and i looked at each other like 2 seconds before the actual earthquake came like.... its coming lol,1,1,1,1,1,1,0,1,1,0,0,1,1
direct_eyewitness,earthquake twitter: hello,0,0,0,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,hello earthquake!,0,0,0,0,0,0,1,0,1,0,1,0,0
direct_eyewitness,that earthquake scared tf out of me omg,0,1,1,1,1,1,0,1,1,0,0,1,0
direct_eyewitness,definitely just felt another earthquake lol #bayarea,0,1,1,0,0,0,0,1,0,1,0,1,0
direct_eyewitness,yall felt that earthquake?,0,1,1,0,0,0,1,0,1,0,0,0,0
direct_eyewitness,"i told my sister we're having an earthquake and she was like ""no that's just our washer "" like wtf",1,1,1,1,1,1,0,1,1,1,0,1,1
direct_eyewitness,who felt that earthquake,0,1,1,0,0,0,0,0,1,0,0,0,0
direct_eyewitness,mini earthquake? hello?,0,0,0,0,0,0,1,0,0,0,0,0,0
direct_eyewitness,my first #earthquake!! did not help my phobia.,0,1,1,1,1,0,1,0,1,0,0,0,1
direct_eyewitness,dat earthquake,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,thank god we are safe  #earthquake ,0,0,1,0,1,0,0,0,1,1,0,0,0
direct_eyewitness,wait i  m so confused did we just have an earthquake??,1,1,1,1,1,0,1,0,1,1,0,1,1
direct_eyewitness,bitch i  m in class and we just felt a fucking earthquake.,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,small ass earthquake and my mom goes crazy.,0,1,1,1,1,1,0,0,1,0,0,0,1
direct_eyewitness,i woke up out my sleep thinkin its a earthquake n started cryin when i saw my sister shakin. not knowin wtf ta do b  https://t.co/bnthiri5dp,1,1,1,1,1,1,0,1,1,1,0,1,1
direct_eyewitness,earthquake in nor cal and i just left that hell hole that is a sign and idk how to interpret it yet but it  s a sign,1,1,1,1,1,1,0,1,1,1,0,1,1
direct_eyewitness,earthquake          ,0,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,was that just a tiny earthquake??,0,1,1,1,1,1,1,0,1,1,0,1,0
direct_eyewitness,woah... #earthquake,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,well  that was a nice little shaker #earthquake #eastbay #haywardfault,1,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,was that an earthquake or was it my body spazzing out????,0,1,1,0,1,0,1,0,1,0,0,0,1
direct_eyewitness,earthquake tweet,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,am i tripping or did i just feel an earthquake? ,1,1,1,1,1,0,1,0,1,1,0,1,1
direct_eyewitness,hello anyone just feel that earthquake in west oakland or are me and ezra crazy,0,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,don't you love laying down and feeling an earthquake lol,0,1,1,1,1,0,0,1,1,0,0,0,1
direct_eyewitness,ummm idk if i  m trippin or if i just felt an earthquake,1,1,1,1,1,0,0,1,1,1,0,1,1
direct_eyewitness,that was a big earthquake,0,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,lmfao shit i ain prepared for them earthquakes  kmaackinn https://t.co/1kzc4smnij,1,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,was that a earthquake????,0,1,1,1,1,1,1,0,1,1,0,0,0
direct_eyewitness,i just remained on my bed and hoped it would stop. it did  but damn. i'm not prepared. #earthquake #oakland,1,1,1,1,1,0,0,0,1,1,0,1,1
direct_eyewitness,anyone in the east bay feel that earthquake?,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,damn that earthquake shook da fuck outta my room,1,0,1,0,1,0,0,0,1,0,0,0,1
direct_eyewitness,that was a good shaker #earthquake #moraga #eastbay,1,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,uhhhhh earthquake,0,0,0,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,help i can't tell if there's an earthquake or if i'm going crazy again but i'm scared wooooo i'm so scared,1,1,1,1,1,0,0,0,1,1,0,1,1
direct_eyewitness,btw anyone feel an earthquake? i noticed the camera shake on tv after i felt it.,1,1,1,1,1,0,1,0,1,1,0,1,1
direct_eyewitness,yup! felt that lil earthquake ,0,1,1,0,0,0,1,0,1,0,0,0,0
direct_eyewitness,oh hi there very gently earthquake in berkeley &lt;3,0,1,0,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,now that  s a fucking earthquake.,0,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,wow that was a kinda big earthquake  made scarier because i wasn't wearing any pants!!!!,1,1,1,1,1,1,1,0,1,1,0,1,0
direct_eyewitness,earthquake k,0,0,1,0,0,0,0,0,0,0,1,0,0
direct_eyewitness,was that an earthquake ?,0,1,1,0,1,0,1,0,1,0,0,0,1
direct_eyewitness,activate earthquake twitter.,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_eyewitness,was that earthquake or wind?!,0,1,1,0,1,0,1,0,1,0,0,0,0
direct_eyewitness,just felt a small earthquake,0,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,i ain't felt an earthquake since middle school tbh ,1,1,1,1,1,0,0,1,1,0,0,1,1
direct_eyewitness,not even 24 hours home and there was an earthquake,0,1,1,0,1,1,0,0,1,0,0,0,1
direct_eyewitness,either that  or a whole bunch of pranksters stood outside and shook my entire house just now  i'm going with earthquake.,1,1,1,1,1,1,0,0,1,1,0,1,1
direct_eyewitness,minor earthquake in california i think?!?!?!!,1,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,just had an #earthquake. why do they always scare me? ,0,1,1,1,1,1,1,0,1,1,0,1,1
direct_eyewitness,was that a earthquake or im trippin ,0,1,1,1,1,1,0,0,1,1,0,0,0
direct_eyewitness,we just dead ass had a earthquake,0,1,1,1,1,1,0,0,1,1,0,1,0
direct_eyewitness,holy crap that felt big! #earthquake,0,1,1,0,0,0,1,0,1,0,0,0,0
direct_eyewitness,eek that was quite the rattle #earthquake,0,1,1,0,1,0,0,0,1,0,0,0,0
direct_eyewitness,that earthquake spooked me,0,1,1,0,1,1,0,0,1,0,0,0,0
direct_eyewitness,first earthquake i ever felt. dang. that was interesting.   my fridge even vibrated!,1,1,1,1,1,0,1,0,1,0,0,1,1
